# c1_x c1_y c1_z c2_x c2_y c2_z p1_x p1_y p1_z p2_x p2_y p2_z V cs
-600 0 0 600 0 0 336 -240 0 368 -240 0 40.1469 1
-600 0 0 600 0 0 368 -240 0 400 -240 0 40.8895 1
-600 0 0 600 0 0 -400 -240 0 -336 -240 0 81.0365 1
-600 0 0 600 0 0 -368 -240 0 -304 -240 0 76.8938 1
-600 0 0 600 0 0 -336 -240 0 -272 -240 0 72.7091 1
-600 0 0 600 0 0 -304 -240 0 -240 -240 0 67.109 1
-600 0 0 600 0 0 -272 -240 0 -208 -240 0 61.53 1
-600 0 0 600 0 0 -240 -240 0 -176 -240 0 54.1282 1
-600 0 0 600 0 0 -208 -240 0 -144 -240 0 45.7225 1
-600 0 0 600 0 0 -176 -240 0 -112 -240 0 36.2963 1
-600 0 0 600 0 0 -144 -240 0 -80 -240 0 27.1263 1
-600 0 0 600 0 0 -112 -240 0 -48 -240 0 22.2904 1
-600 0 0 600 0 0 -80 -240 0 -16 -240 0 18.3553 1
-600 0 0 600 0 0 -48 -240 0 16 -240 0 16.9599 1
-600 0 0 600 0 0 -16 -240 0 48 -240 0 16.9599 1
-600 0 0 600 0 0 16 -240 0 80 -240 0 18.3553 1
-600 0 0 600 0 0 48 -240 0 112 -240 0 22.2904 1
-600 0 0 600 0 0 80 -240 0 144 -240 0 27.1263 1
-600 0 0 600 0 0 112 -240 0 176 -240 0 36.2963 1
-600 0 0 600 0 0 144 -240 0 208 -240 0 45.7225 1
-600 0 0 600 0 0 176 -240 0 240 -240 0 54.1282 1
-600 0 0 600 0 0 208 -240 0 272 -240 0 61.53 1
-600 0 0 600 0 0 240 -240 0 304 -240 0 67.109 1
-600 0 0 600 0 0 272 -240 0 336 -240 0 72.7091 1
-600 0 0 600 0 0 304 -240 0 368 -240 0 76.8938 1
-600 0 0 600 0 0 336 -240 0 400 -240 0 81.0365 1
-600 0 0 600 0 0 -400 -208 0 -368 -208 0 49.062 1
-600 0 0 600 0 0 -368 -208 0 -336 -208 0 47.5597 1
-600 0 0 600 0 0 -336 -208 0 -304 -208 0 42.6805 1
-600 0 0 600 0 0 -304 -208 0 -272 -208 0 41.5545 1
-600 0 0 600 0 0 -272 -208 0 -240 -208 0 35.5858 1
-600 0 0 600 0 0 -240 -208 0 -208 -208 0 34.6429 1
-600 0 0 600 0 0 -208 -208 0 -176 -208 0 26.4675 1
-600 0 0 600 0 0 -176 -208 0 -144 -208 0 24.0994 1
-600 0 0 600 0 0 -144 -208 0 -112 -208 0 13.8378 1
-600 0 0 600 0 0 -112 -208 0 -80 -208 0 12.0528 1
-600 0 0 600 0 0 -80 -208 0 -48 -208 0 8.12568 1
-600 0 0 600 0 0 -48 -208 0 -16 -208 0 7.45513 1
-600 0 0 600 0 0 -16 -208 0 16 -208 0 6.593 1
-600 0 0 600 0 0 16 -208 0 48 -208 0 7.45513 1
-600 0 0 600 0 0 48 -208 0 80 -208 0 8.12568 1
-600 0 0 600 0 0 80 -208 0 112 -208 0 12.0528 1
-600 0 0 600 0 0 112 -208 0 144 -208 0 13.8378 1
-600 0 0 600 0 0 144 -208 0 176 -208 0 24.0994 1
-600 0 0 600 0 0 176 -208 0 208 -208 0 26.4675 1
-600 0 0 600 0 0 208 -208 0 240 -208 0 34.6429 1
-600 0 0 600 0 0 240 -208 0 272 -208 0 35.5858 1
-600 0 0 600 0 0 272 -208 0 304 -208 0 41.5545 1
-600 0 0 600 0 0 304 -208 0 336 -208 0 42.6805 1
-600 0 0 600 0 0 336 -208 0 368 -208 0 47.5597 1
-600 0 0 600 0 0 368 -208 0 400 -208 0 49.062 1
-600 0 0 600 0 0 -400 -208 0 -336 -208 0 96.6217 1
-600 0 0 600 0 0 -368 -208 0 -304 -208 0 90.2401 1
-600 0 0 600 0 0 -336 -208 0 -272 -208 0 84.2349 1
-600 0 0 600 0 0 -304 -208 0 -240 -208 0 77.1403 1
-600 0 0 600 0 0 -272 -208 0 -208 -208 0 70.2287 1
-600 0 0 600 0 0 -240 -208 0 -176 -208 0 61.1103 1
-600 0 0 600 0 0 -208 -208 0 -144 -208 0 50.5669 1
-600 0 0 600 0 0 -176 -208 0 -112 -208 0 37.9372 1
-600 0 0 600 0 0 -144 -208 0 -80 -208 0 25.8906 1
-600 0 0 600 0 0 -112 -208 0 -48 -208 0 20.1784 1
-600 0 0 600 0 0 -80 -208 0 -16 -208 0 15.5808 1
-600 0 0 600 0 0 -48 -208 0 16 -208 0 14.0481 1
-600 0 0 600 0 0 -16 -208 0 48 -208 0 14.0481 1
-600 0 0 600 0 0 16 -208 0 80 -208 0 15.5808 1
-600 0 0 600 0 0 48 -208 0 112 -208 0 20.1784 1
-600 0 0 600 0 0 80 -208 0 144 -208 0 25.8906 1
-600 0 0 600 0 0 112 -208 0 176 -208 0 37.9372 1
-600 0 0 600 0 0 144 -208 0 208 -208 0 50.5669 1
-600 0 0 600 0 0 176 -208 0 240 -208 0 61.1103 1
-600 0 0 600 0 0 208 -208 0 272 -208 0 70.2287 1
-600 0 0 600 0 0 240 -208 0 304 -208 0 77.1403 1
-600 0 0 600 0 0 272 -208 0 336 -208 0 84.2349 1
-600 0 0 600 0 0 304 -208 0 368 -208 0 90.2401 1
-600 0 0 600 0 0 336 -208 0 400 -208 0 96.6217 1
-600 0 0 600 0 0 -400 -176 0 -368 -176 0 60.6788 1
-600 0 0 600 0 0 -368 -176 0 -336 -176 0 57.3321 1
-600 0 0 600 0 0 -336 -176 0 -304 -176 0 49.8752 1
-600 0 0 600 0 0 -304 -176 0 -272 -176 0 48.1544 1
-600 0 0 600 0 0 -272 -176 0 -240 -176 0 40.9211 1
-600 0 0 600 0 0 -240 -176 0 -208 -176 0 39.7925 1
-600 0 0 600 0 0 -208 -176 0 -176 -176 0 30.0964 1
-600 0 0 600 0 0 -176 -176 0 -144 -176 0 26.7046 1
-600 0 0 600 0 0 -144 -176 0 -112 -176 0 12.0067 1
-600 0 0 600 0 0 -112 -176 0 -80 -176 0 10.1698 1
-600 0 0 600 0 0 -80 -176 0 -48 -176 0 6.12849 1
-600 0 0 600 0 0 -48 -176 0 -16 -176 0 5.52181 1
-600 0 0 600 0 0 -16 -176 0 16 -176 0 4.74179 1
-600 0 0 600 0 0 16 -176 0 48 -176 0 5.52181 1
-600 0 0 600 0 0 48 -176 0 80 -176 0 6.12849 1
-600 0 0 600 0 0 80 -176 0 112 -176 0 10.1698 1
-600 0 0 600 0 0 112 -176 0 144 -176 0 12.0067 1
-600 0 0 600 0 0 144 -176 0 176 -176 0 26.7046 1
-600 0 0 600 0 0 176 -176 0 208 -176 0 30.0964 1
-600 0 0 600 0 0 208 -176 0 240 -176 0 39.7925 1
-600 0 0 600 0 0 240 -176 0 272 -176 0 40.9211 1
-600 0 0 600 0 0 272 -176 0 304 -176 0 48.1544 1
-600 0 0 600 0 0 304 -176 0 336 -176 0 49.8752 1
-600 0 0 600 0 0 336 -176 0 368 -176 0 57.3321 1
-600 0 0 600 0 0 368 -176 0 400 -176 0 60.6788 1
-600 0 0 600 0 0 -400 -176 0 -336 -176 0 118.011 1
-600 0 0 600 0 0 -368 -176 0 -304 -176 0 107.207 1
-600 0 0 600 0 0 -336 -176 0 -272 -176 0 98.0296 1
-600 0 0 600 0 0 -304 -176 0 -240 -176 0 89.0755 1
-600 0 0 600 0 0 -272 -176 0 -208 -176 0 80.7136 1
-600 0 0 600 0 0 -240 -176 0 -176 -176 0 69.8889 1
-600 0 0 600 0 0 -208 -176 0 -144 -176 0 56.801 1
-600 0 0 600 0 0 -176 -176 0 -112 -176 0 38.7113 1
-600 0 0 600 0 0 -144 -176 0 -80 -176 0 22.1765 1
-600 0 0 600 0 0 -112 -176 0 -48 -176 0 16.2983 1
-600 0 0 600 0 0 -80 -176 0 -16 -176 0 11.6503 1
-600 0 0 600 0 0 -48 -176 0 16 -176 0 10.2636 1
-600 0 0 600 0 0 -16 -176 0 48 -176 0 10.2636 1
-600 0 0 600 0 0 16 -176 0 80 -176 0 11.6503 1
-600 0 0 600 0 0 48 -176 0 112 -176 0 16.2983 1
-600 0 0 600 0 0 80 -176 0 144 -176 0 22.1765 1
-600 0 0 600 0 0 112 -176 0 176 -176 0 38.7113 1
-600 0 0 600 0 0 144 -176 0 208 -176 0 56.801 1
-600 0 0 600 0 0 176 -176 0 240 -176 0 69.8889 1
-600 0 0 600 0 0 208 -176 0 272 -176 0 80.7136 1
-600 0 0 600 0 0 240 -176 0 304 -176 0 89.0755 1
-600 0 0 600 0 0 272 -176 0 336 -176 0 98.0296 1
-600 0 0 600 0 0 304 -176 0 368 -176 0 107.207 1
-600 0 0 600 0 0 336 -176 0 400 -176 0 118.011 1
-600 0 0 600 0 0 -400 -144 0 -368 -144 0 72.8849 1
